Unique ID,Indicator ID,Name,Measure,Measure Info,Geo Type Name,Geo Join ID,Geo Place Name,Time Period,Start_Date,Data Value,Month,Year
336867,375.0,Nitrogen dioxide (NO2),Mean,ppb,CD,407.0,Flushing and Whitestone (CD7),Winter 2014-15,2014-12-01,23.97,12,2014
336741,375.0,Nitrogen dioxide (NO2),Mean,ppb,CD,107.0,Upper West Side (CD7),Winter 2014-15,2014-12-01,27.42,12,2014
550157,375.0,Nitrogen dioxide (NO2),Mean,ppb,CD,414.0,Rockaway and Broad Channel (CD14),Annual Average 2017,2017-01-01,12.55,1,2017
412802,375.0,Nitrogen dioxide (NO2),Mean,ppb,CD,407.0,Flushing and Whitestone (CD7),Winter 2015-16,2015-12-01,22.63,12,2015
412803,375.0,Nitrogen dioxide (NO2),Mean,ppb,CD,407.0,Flushing and Whitestone (CD7),Summer 2016,2016-06-01,14.0,6,2016
412676,375.0,Nitrogen dioxide (NO2),Mean,ppb,CD,107.0,Upper West Side (CD7),Winter 2015-16,2015-12-01,26.43,12,2015
412677,375.0,Nitrogen dioxide (NO2),Mean,ppb,CD,107.0,Upper West Side (CD7),Summer 2016,2016-06-01,19.1,6,2016
603044,375.0,Nitrogen dioxide (NO2),Mean,ppb,CD,314.0,Flatbush and Midwood (CD14),Annual Average 2018,2018-01-01,17.28,1,2018
825832,375.0,Nitrogen dioxide (NO2),Mean,ppb,CD,107.0,Upper West Side (CD7),Winter 2021-22,2021-12-01,22.07527023,12,2021
741291,375.0,Nitrogen dioxide (NO2),Mean,ppb,CD,414.0,Rockaway and Broad Channel (CD14),Annual Average 2021,2021-01-01,11.33729397,1,2021
166679,375.0,Nitrogen dioxide (NO2),Mean,ppb,CD,414.0,Rockaway and Broad Channel (CD14),Summer 2009,2009-06-01,8.44,6,2009
165912,375.0,Nitrogen dioxide (NO2),Mean,ppb,CD,414.0,Rockaway and Broad Channel (CD14),Winter 2010-11,2010-12-01,20.26,12,2010
167800,375.0,Nitrogen dioxide (NO2),Mean,ppb,CD,414.0,Rockaway and Broad Channel (CD14),Annual Average 2013,2012-12-01,12.54,12,2012
336888,375.0,Nitrogen dioxide (NO2),Mean,ppb,CD,414.0,Rockaway and Broad Channel (CD14),Winter 2014-15,2014-12-01,20.58,12,2014
741290,375.0,Nitrogen dioxide (NO2),Mean,ppb,CD,414.0,Rockaway and Broad Channel (CD14),Summer 2021,2021-06-01,4.850858294,6,2021
603098,375.0,Nitrogen dioxide (NO2),Mean,ppb,CD,414.0,Rockaway and Broad Channel (CD14),Annual Average 2018,2018-01-01,10.41,1,2018
826075,375.0,Nitrogen dioxide (NO2),Mean,ppb,CD,414.0,Rockaway and Broad Channel (CD14),Winter 2021-22,2021-12-01,15.70203388,12,2021
170430,365.0,Fine particles (PM 2.5),Mean,mcg/m3,CD,307.0,Sunset Park (CD7),Annual Average 2013,2012-12-01,9.18,12,2012
410984,365.0,Fine particles (PM 2.5),Mean,mcg/m3,CD,107.0,Upper West Side (CD7),Winter 2015-16,2015-12-01,8.85,12,2015
742558,365.0,Fine particles (PM 2.5),Mean,mcg/m3,CD,414.0,Rockaway and Broad Channel (CD14),Winter 2020-21,2020-12-01,6.33109299,12,2020
